X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207,X208,X209,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,X222,X223,X224,X225,X226,X227,X228
Start Date,End Date,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Distribution Channel,"Subject ID (Your subject ID is the first two initials of your high school’s name), the day of the month you were born (i.e 7th of May is 07) and the last letter of your mother’s first name)",What is your age in years?,"Sex  (1= male, 2= female)","Sex by kid (1= MK, 2= MN, 3= FK, 4= FN)",Sex - Other - Text,"Sex by essential (1= ME, 2= MNE, 3= FE, 4= FNE)",,,"Gender identity (1= man, 2= woman, 3= transgender, 4= other)",Gender identity: What gender do you identify with? - Other - Text,"Education (1= some high school, 2= high school diploma/GED, 3= education beyond HS, 4= associates degree, 5= Bachelors, 6= Masters, 7= doctorate)","Relationship status (1= Married/long-term, 2= single, 3= divorced, 4= less committed relationship)","Are you currently living with anyone? (your current situation) (1= yes, 2= no)","Who are you currently living with? Who are you currently living with? (1= romantic partner, 2= relatives, 3= non-romantic partners/roommates)","Are you currently providing care to a relative (i.e. parent, grandparent) (1=yes, 2=no)","Do you have any children living at home? (1=yes, 2=no)",How many children do you have?,How old are your kids?,"Do you have any pets? (1=yes, 2=no)",How many pets do you have?,"What types of pets do you have? (1= dog, 2=cat, 3=hamster, 4=fish, 5=other)",What types of pets do you have? (check all that apply) - Other: - Text,"What was your employment status prior to COVID-19? (1=employed full-time, 2= employed full-time but furloughed or laid off, 3= employed part-time, 4= self-employed, 5=full-time student, 6= part-time student, 7= unemployed, 8= retired)","What is your current employment status? (1=employed full-time, 2= employed full-time but furloughed or laid off, 3= employed part-time, 4= self-employed, 5=full-time student, 6= part-time student, 7= unemployed, 8= retired)","Are you considered an essential worker? (1= yes, 2= no)","Are you working to provide direct patient care? (1= yes, 2=no)",List of Countries,What state/province do you live in?,"Which one of the following best describes where you live? (1= major city, 2= a small city, 3= suburb, 4= a small town, 5= rural/country setting)",What is your nationality?,"Do you have any chronic medical conditions? (1=yes, 2=no)",Please click all that apply,"Have you or someone you know been diagnosed with COVID-19? (1=yes, 2= no)","Who was diagnosed with COVID-19 (1= self, 2= spouse/partner, 3= child, 4= relative, 5= friend, 6= roommate, 7= colleague)","Do you smoke? (1=yes, 2=no)",Trait Physical Energetic,Trait Physical Fatigued,Trait Physical Vigorous,Trait Physical Exhausted,Trait Physical Full of pep,Trait Physical Worn out,Trait Physical Energy,Trait Physical Fatigue,Trait Mental component Energetic,Trait mental component Fatigued,Trait mental Vigorous,Trait menta Exhausted,Trait Mental Full of pep,Trait mental Worn out,Trait Mental Energy,Trait Mental Fatigue," 1.	New ideas and projects sometimes distract me from previous ones.","2.	Setbacks don’t discourage me.",," 3.	I have been obsessed with a certain idea or project for a short time but later lost interest.","4.	I am a hard worker.",,"5.	I often set a goal but later choose to pursue a different one.", 6. I have difficulty maintaining my focus on projects that take more than a few months to complete.,7. I finish whatever I begin.,,8. I am diligent.,,Grit,,,When have you usually gone to bed? - Hour,When have you usually gone to bed? - Min,When have you usually gone to bed? - AM/PM,Time to bed,How long (in minutes) has it taken you to fall asleep each night?,When have you usually gotten up in the morning? - Hour,When have you usually gotten up in the morning? - Min,When have you usually gotten up in the morning? - AM/PM,Time to wake up,How many hours of actual sleep did you get that night? (This may be different than the number of hours you spend in bed),"During the past month, how often have you had trouble sleeping because you… - Cannot get to sleep within 30 minutes","During the past month, how often have you had trouble sleeping because you… - Wake up in the middle of the night or early morning","During the past month, how often have you had trouble sleeping because you… - Have to get up to use the bathroom","During the past month, how often have you had trouble sleeping because you… - Cannot breath comfortably","During the past month, how often have you had trouble sleeping because you… - Cough or snore loudly","During the past month, how often have you had trouble sleeping because you… - Feel too cold","During the past month, how often have you had trouble sleeping because you… - Feel too hot","During the past month, how often have you had trouble sleeping because you… - Have bad dreams","During the past month, how often have you had trouble sleeping because you… - Have pain","During the past month, how often have you had trouble sleeping because of other reason(s) - please describe, including how often you have had trouble sleeping because of this reasons(s):","During the past month, - How often have you taken medicine (prescribed or “over the counter”) to help you sleep?","During the past month, - How often have you had trouble staying awake while driving, eating meals, or engaging in social activity?","During the past month, - How much of a problem has it been for you to keep up enthusiasm to get things done?","During the past month, - How would you rate your sleep quality overall?","During the last 7 days, on how many days did you do vigorous physical activities like heavy lifting, digging, aerobics, or fast bicycling?

Think about only those physical activities that you did for at least 10 minutes at a time.",How much time in total did you usually spend on one of those days doing vigorous physical activities? - Hours,How much time in total did you usually spend on one of those days doing vigorous physical activities? - Minutes,Vigorous Physical Activity,"Again, think only about those physical activities that you did for at least 10 minutes at a time. During the last 7 days, on how many days did you do moderate physical activities like carrying light loads, bicycling at a regular pace, or doubles tennis? Do not include walking.",How much time in total did you usually spend on one of those days doing moderate physical activities? - Hours,How much time in total did you usually spend on one of those days doing moderate physical activities? - Minutes,Moderate Physical activity,,"During the last 7 days, on how many days did you walk for at least 10 minutes at a time? This includes walking at work and at home, walking to travel from place to place, and any other walking that you did solely for recreation, sport, exercise or leisure.",How much time in total did you usually spend walking on one of those days? - Hours,How much time in total did you usually spend walking on one of those days? - Minutes,Light Physical activity,"During the last 7 days, how many days in total did you usually spend sitting on a week day? This includes time spent sitting at a desk, visiting friends, reading traveling on a bus or sitting or lying down to watch television.",How much time in total did you usually spend sitting on one of those days? - Hours,How much time in total did you usually spend sitting on one of those days? - Minutes,Sitting time,,"In an average week, how often do you: - Skip breakfast?",,"In an average week, how often do you: - Eat 4 or more meals from sit-down or take out restaurants?",,"In an average week, how often do you: - Eat less than 2 servings of whole grain products or high fiber starches a day? Serving = 1 slice of 100% whole grain bread; 1 cup whole grain cereal like Shredded Wheat, Wheaties, Grape Nuts, high fiber cereals, oatmeal, 3-4 whole grain crackers, 1?2 cup brown rice or whole wheat pasta, boiled or baked potatoes, yuca, yams or plantain.",,"In an average week, how often do you: - Eat less than 2 servings of fruit a day? Serving = 1?2 cup or 1 med. fruit or 3?4 cup 100% fruit juice",,"In an average week, how often do you: - Eat less than 2 servings of vegetables a day? Serving = 1?2 cup vegetables, or 1 cup leafy raw vegetables.",,"In an average week, how often do you: - Eat or drink less than 2 servings of milk, yogurt, or cheese a day? Serving = 1 cup milk or yogurt; 11?2 - 2 ounces cheese.",,"In an average week, how often do you: - Eat more than 8 ounces (see sizes below) of meat, chicken, turkey or fish per day? Note: 3 ounces of meat or chicken is the size of a deck of cards or ONE of the following: 1 regular hamburger, 1 chicken breast or leg (thigh and drumstick), or 1 pork chop.",,"In an average week, how often do you: - Use regular processed meats (like bologna, salami, corned beef, hotdogs, sausage or bacon) instead of low fat processed meats (like roast beef, turkey, lean ham; low-fat cold cuts/hotdogs)?",,"In an average week, how often do you: - Eat fried foods such as fried chicken, fried fish, French fries, fried plantains, tostones or fried yuca?",,"In an average week, how often do you: - Eat regular potato chips, nacho chips, corn chips, crackers, regular popcorn, nuts instead of pretzels, low-fat chips or low- fat crackers, air-popped popcorn?",,"In an average week, how often do you: - Add butter, margarine or oil to bread, potatoes, rice or vegetables at the table?",,"In an average week, how often do you: - Eat sweets like cake, cookies, pastries, donuts, muffins, chocolate and candies more than 2 times per day.",,"In an average week, how often do you: - Drink 16 ounces or more of non-diet soda, fruit drink/punch or Kool-Aid a day? Note: 1 can of soda = 12 ounces",,Typically - You or a member of your family usually shops and cooks rather than eating sit-down or take-out restaurant food?,Typically - Usually feel well enough to shop or cook., How willing are you to make changes in your eating habits in order to be healthier?,REAP-S score,,,How many days did you do work (or do school work/attend classes if you are a student) this week?,How many hours per day did you typically do work (or do school work/attend class)?,Hours of mental work on work/school days,Number of hours of mental work on non-work days,average intensity of mental work you did on a typical work/school day,average intensity of mental work you did on a typical non-work/school day,Intensity of mental work on work/school days,Intensity of mental work on non-school/work days,Number of hours of work,Tense,Angry,Worn out,Lively,Confused,Shaky,Sad,Active,Grouchy,Energetic,Unworthy,Uneasy,Fatigue,Annoyed,Discouraged,Nervous,Lonely,Muddled,Exhausted,Anxious,Gloomy,Sluggish,Weary,Bewildered,Furious,Efficient,Full of pep,Bad-Tempered,Forgetful,Vigorous,POMS Anxiety,POMS depression,POMS Anger,POMS Fatigue,POMS confusion,,POMS Vigour,Total Mood disturbance,,State Physical component Energy,State Physical component Fatigue,State Physical Vigor,State Physical exhaustion,State Physical  pep,State Physical worn out,State Physical Energy,State Physical Fatigue,State mental component Energy,State mental component Fatigue,State mental Vigor,State mental exhaustion,State mental pep,State mental worn out,State mental Energy,State Mental Fatigue,Mental motivation,Physical motivation,PSQI component 1,PSQI component 2,PSQI component 3,% Time in Bed,PSQI component 4,Sum 5b to 5J,PSQI component 5,PSQI component 6,7+8,PSQI component 7,PSQI composite score
Start Date,End Date,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Distribution Channel,"Subject ID (Your subject ID is the first two initials of your high school’s name), the day of the month you were born (i.e 7th of May is 07) and the last letter of your mother’s first name)",What is your age in years?,"Sex  (1= male, 2= female)","Sex by kid (1= MK, 2= MN, 3= FK, 4= FN)",Sex - Other - Text,"Sex by essential (1= ME, 2= MNE, 3= FE, 4= FNE)","Sex by essential by full-time/part-time/self-employed (0= other, 1= male essential, 2= male. non-essential, 3= female essential, 4= female non-essential)",Essential/not by employment,"Gender identity (1= man, 2= woman, 3= transgender, 4= other)",Gender identity: What gender do you identify with? - Other - Text,"Education (1= some high school, 2= high school diploma/GED, 3= education beyond HS, 4= associates degree, 5= Bachelors, 6= Masters, 7= doctorate)","Relationship status (1= Married/long-term, 2= single, 3= divorced, 4= less committed relationship)","Are you currently living with anyone? (your current situation) (1= yes, 2= no)","Who are you currently living with? Who are you currently living with? (1= romantic partner, 2= relatives, 3= non-romantic partners/roommates)","Are you currently providing care to a relative (i.e. parent, grandparent) (1=yes, 2=no)","Do you have any children living at home? (1=yes, 2=no)",How many children do you have?,How old are your kids?,"Do you have any pets? (1=yes, 2=no)",How many pets do you have?,"What types of pets do you have? (1= dog, 2=cat, 3=hamster, 4=fish, 5=other)",What types of pets do you have? (check all that apply) - Other: - Text,"What was your employment status prior to COVID-19? (1=employed full-time, 2= employed full-time but furloughed or laid off, 3= employed part-time, 4= self-employed, 5=full-time student, 6= part-time student, 7= unemployed, 8= retired)","What is your current employment status? (1=employed full-time, 2= employed full-time but furloughed or laid off, 3= employed part-time, 4= self-employed, 5=full-time student, 6= part-time student, 7= unemployed, 8= retired)","Are you considered an essential worker? (1= yes, 2= no)","Are you working to provide direct patient care? (1= yes, 2=no)",List of Countries,What state/province do you live in?,"Which one of the following best describes where you live? (1= major city, 2= a small city, 3= suburb, 4= a small town, 5= rural/country setting)",What is your nationality?,"Do you have any chronic medical conditions? (1=yes, 2=no)",Please click all that apply,"Have you or someone you know been diagnosed with COVID-19? (1=yes, 2= no)","Who was diagnosed with COVID-19 (1= self, 2= spouse/partner, 3= child, 4= relative, 5= friend, 6= roommate, 7= colleague)","Do you smoke? (1=yes, 2=no)",Trait Physical Energetic,Trait Physical Fatigued,Trait Physical Vigorous,Trait Physical Exhausted,Trait Physical Full of pep,Trait Physical Worn out,Trait Physical Energy,Trait Physical Fatigue,Trait Mental component Energetic,Trait mental component Fatigued,Trait mental Vigorous,Trait menta Exhausted,Trait Mental Full of pep,Trait mental Worn out,Trait Mental Energy,Trait Mental Fatigue," 1.	New ideas and projects sometimes distract me from previous ones.","2.	Setbacks don’t discourage me.",Reverse coded setbacks," 3.	I have been obsessed with a certain idea or project for a short time but later lost interest.","4.	I am a hard worker.",Reverse coded hard work,"5.	I often set a goal but later choose to pursue a different one.", 6. I have difficulty maintaining my focus on projects that take more than a few months to complete.,7. I finish whatever I begin.,Reverse coded finish,8. I am diligent.,Reverse coded diligent,Grit,Consistency of Interest,Perseverence of effort,When have you usually gone to bed? - Hour,When have you usually gone to bed? - Min,When have you usually gone to bed? - AM/PM,Time to bed,How long (in minutes) has it taken you to fall asleep each night?,When have you usually gotten up in the morning? - Hour,When have you usually gotten up in the morning? - Min,When have you usually gotten up in the morning? - AM/PM,Time to wake up,How many hours of actual sleep did you get that night? (This may be different than the number of hours you spend in bed),"During the past month, how often have you had trouble sleeping because you… - Cannot get to sleep within 30 minutes","During the past month, how often have you had trouble sleeping because you… - Wake up in the middle of the night or early morning","During the past month, how often have you had trouble sleeping because you… - Have to get up to use the bathroom","During the past month, how often have you had trouble sleeping because you… - Cannot breath comfortably","During the past month, how often have you had trouble sleeping because you… - Cough or snore loudly","During the past month, how often have you had trouble sleeping because you… - Feel too cold","During the past month, how often have you had trouble sleeping because you… - Feel too hot","During the past month, how often have you had trouble sleeping because you… - Have bad dreams","During the past month, how often have you had trouble sleeping because you… - Have pain","During the past month, how often have you had trouble sleeping because of other reason(s) - please describe, including how often you have had trouble sleeping because of this reasons(s):","During the past month, - How often have you taken medicine (prescribed or “over the counter”) to help you sleep?","During the past month, - How often have you had trouble staying awake while driving, eating meals, or engaging in social activity?","During the past month, - How much of a problem has it been for you to keep up enthusiasm to get things done?","During the past month, - How would you rate your sleep quality overall?","During the last 7 days, on how many days did you do vigorous physical activities like heavy lifting, digging, aerobics, or fast bicycling?

Think about only those physical activities that you did for at least 10 minutes at a time.",How much time in total did you usually spend on one of those days doing vigorous physical activities? - Hours,How much time in total did you usually spend on one of those days doing vigorous physical activities? - Minutes,Vigorous Physical Activity,"Again, think only about those physical activities that you did for at least 10 minutes at a time. During the last 7 days, on how many days did you do moderate physical activities like carrying light loads, bicycling at a regular pace, or doubles tennis? Do not include walking.",How much time in total did you usually spend on one of those days doing moderate physical activities? - Hours,How much time in total did you usually spend on one of those days doing moderate physical activities? - Minutes,Moderate Physical activity,"Physical activity category (1= 0 min, 2= >0, < 150 min, 3= >150, <300, 4= >300)","During the last 7 days, on how many days did you walk for at least 10 minutes at a time? This includes walking at work and at home, walking to travel from place to place, and any other walking that you did solely for recreation, sport, exercise or leisure.",How much time in total did you usually spend walking on one of those days? - Hours,How much time in total did you usually spend walking on one of those days? - Minutes,Light Physical activity,"During the last 7 days, how many days in total did you usually spend sitting on a week day? This includes time spent sitting at a desk, visiting friends, reading traveling on a bus or sitting or lying down to watch television.",How much time in total did you usually spend sitting on one of those days? - Hours,How much time in total did you usually spend sitting on one of those days? - Minutes, Total time spent sitting (minutes/week),"Sitting time category (1= 0-4 hours/day, 2= 4-6 hours/day, 3= 6-8 hours/day, 4= 8+ hours/day)","In an average week, how often do you: - Skip breakfast?",breakfast re-coded,"In an average week, how often do you: - Eat 4 or more meals from sit-down or take out restaurants?",Take-out recoded,"In an average week, how often do you: - Eat less than 2 servings of whole grain products or high fiber starches a day? Serving = 1 slice of 100% whole grain bread; 1 cup whole grain cereal like Shredded Wheat, Wheaties, Grape Nuts, high fiber cereals, oatmeal, 3-4 whole grain crackers, 1?2 cup brown rice or whole wheat pasta, boiled or baked potatoes, yuca, yams or plantain.",Starches re-coded,"In an average week, how often do you: - Eat less than 2 servings of fruit a day? Serving = 1?2 cup or 1 med. fruit or 3?4 cup 100% fruit juice",Fruits re-coded,"In an average week, how often do you: - Eat less than 2 servings of vegetables a day? Serving = 1?2 cup vegetables, or 1 cup leafy raw vegetables.",Vegetables re-coded,"In an average week, how often do you: - Eat or drink less than 2 servings of milk, yogurt, or cheese a day? Serving = 1 cup milk or yogurt; 11?2 - 2 ounces cheese.",Dairy re-coded,"In an average week, how often do you: - Eat more than 8 ounces (see sizes below) of meat, chicken, turkey or fish per day? Note: 3 ounces of meat or chicken is the size of a deck of cards or ONE of the following: 1 regular hamburger, 1 chicken breast or leg (thigh and drumstick), or 1 pork chop.",Meat re-coded,"In an average week, how often do you: - Use regular processed meats (like bologna, salami, corned beef, hotdogs, sausage or bacon) instead of low fat processed meats (like roast beef, turkey, lean ham; low-fat cold cuts/hotdogs)?",Processed foods re-coded,"In an average week, how often do you: - Eat fried foods such as fried chicken, fried fish, French fries, fried plantains, tostones or fried yuca?",Fried foods re-coded,"In an average week, how often do you: - Eat regular potato chips, nacho chips, corn chips, crackers, regular popcorn, nuts instead of pretzels, low-fat chips or low- fat crackers, air-popped popcorn?",Snacks re-coded,"In an average week, how often do you: - Add butter, margarine or oil to bread, potatoes, rice or vegetables at the table?",Butter re-coded,"In an average week, how often do you: - Eat sweets like cake, cookies, pastries, donuts, muffins, chocolate and candies more than 2 times per day.",Sweets re-coded,"In an average week, how often do you: - Drink 16 ounces or more of non-diet soda, fruit drink/punch or Kool-Aid a day? Note: 1 can of soda = 12 ounces",Soda re-coded,Typically - You or a member of your family usually shops and cooks rather than eating sit-down or take-out restaurant food?,Typically - Usually feel well enough to shop or cook., How willing are you to make changes in your eating habits in order to be healthier?,REAP-S score,REAPS flags,Good vs bad,How many days did you do work (or do school work/attend classes if you are a student) this week?,How many hours per day did you typically do work (or do school work/attend class)?,Hours of mental work on work/school days,Number of hours of mental work on non-work days,average intensity of mental work you did on a typical work/school day,average intensity of mental work you did on a typical non-work/school day,Intensity of mental work on work/school days,Intensity of mental work on non-school/work days,Number of hours of work,Tense,Angry,Worn out,Lively,Confused,Shaky,Sad,Active,Grouchy,Energetic,Unworthy,Uneasy,Fatigue,Annoyed,Discouraged,Nervous,Lonely,Muddled,Exhausted,Anxious,Gloomy,Sluggish,Weary,Bewildered,Furious,Efficient,Full of pep,Bad-Tempered,Forgetful,Vigorous,POMS Anxiety,POMS depression,POMS Anger,POMS Fatigue,POMS confusion,Confusion without efficiency,POMS Vigour,Total Mood disturbance,TMD new,State Physical component Energy,State Physical component Fatigue,State Physical Vigor,State Physical exhaustion,State Physical  pep,State Physical worn out,State Physical Energy,State Physical Fatigue,State mental component Energy,State mental component Fatigue,State mental Vigor,State mental exhaustion,State mental pep,State mental worn out,State mental Energy,State Mental Fatigue,Mental motivation,Physical motivation,PSQI component 1,PSQI component 2,PSQI component 3,% Time in Bed,PSQI component 4,Sum 5b to 5J,PSQI component 5,PSQI component 6,7+8,PSQI component 7,PSQI composite score
4/13/2020 12:21,4/13/2020 12:34,172.4.120.86,100,745,1,4/13/2020 12:34,R_215Rwjo4hz5A9XJ,41.31399536,-81.67559814,anonymous,IH01I,34,2,3,,3,FALSE,FALSE,2,,5,1,1,1,2,1,2,3 and 1,2,,,,7,7,1,2,187,OH,3,White,2,,2,,2,3,3,1,2,3,1,4,3,3,2,1,3,3,2,4,4,3,2,4,2,2,4,4,4,2,4,2,4,3.25,13,8,11,0,PM,,30,6,30,AM,,6,3,3,2,1,1,2,0,1,1,Kids are sleeping poorly and anxiety over the current climate,0,0,0,,6,6,30,1950,6,0,30,150,4,7,1,30,540,8,1,0,420,1,1,1,3,3,3,3,2,2,3,3,2,2,1,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,1,30,3,1,7,19,1,1,1,1,7,0,133,63,47,50,54,92,0,64,65,58,60,28,89,71,62,68,71,1,2,3,86,3,26,84,4,4,0,100,57,60,3,309,164,228,234,158,158,282,811,811,14,35,26,31,26,29,66,95,28,26,28,31,36,31,92,88,53,55,N/A,2,1,#DIV/0!,#DIV/0!,11,2,0,0,0,Can't do without 1
4/13/2020 12:25,4/13/2020 12:36,73.173.62.135,100,669,1,4/13/2020 12:36,R_6WFnlbpVzsWWbjr,38.98930359,-77.15859985,anonymous,RH07R,33,2,4,,3,3,1,2,,6,1,1,1,2,2,,,2,,,,1,1,1,1,187,Maryland ,2,American,2,,2,,2,4,3,3,2,4,2,8,4,3,3,3,2,3,3,6,5,2,3,3,4,1,5,3,4,3,3,2,4,3.25,13,9,10,30,Pm,,15,8,0,Am,,8,2,3,0,0,0,0,2,0,0,Spouse,0,0,0,,6,0,30,150,4,0,30,90,4,8,2,0,840,,6,0,#VALUE!,#VALUE!,2,2,2,2,3,3,2,2,3,3,2,2,1,1,3,3,3,3,3,3,2,2,3,3,3,3,1,1,2,32,1,1,5,8,4,2,4,2,80,8,40,28,2,16,51,32,0,14,69,11,55,1,17,2,8,18,24,1,2,2,7,5,18,8,2,2,16,16,2,6,6,76,39,25,46,26,42,197,15,31,69,41,71,9,58,3,198,53,62,40,13,1,12,8,87,49,48,63,,1,0,#DIV/0!,#DIV/0!,5,1,0,0,0,
4/13/2020 12:26,4/13/2020 12:42,73.230.119.205,100,943,1,4/13/2020 12:42,R_1HkvNmmXmjPoMHT,40.8973999,-77.77220154,anonymous,cp06n,22,2,4,,4,FALSE,FALSE,2,,5,1,1,1,2,2,,,2,,,,1,7,2,,187,Pennsylvania,2,Italian American,2,,1,5,2,4,3,3,2,4,2,8,4,4,1,3,2,5,2,9,2,3,3,3,3,1,5,4,4,2,4,1,5,3.5,14,7,11,30,PM,,10,9,0,AM,,9,2,3,2,0,1,1,2,3,0,NA,0,0,1,,8,1,30,630,5,1,0,240,4,7,1,0,360,8,3,0,1260,1,3,3,3,3,2,2,3,3,3,3,3,3,1,1,3,3,2,2,2,2,2,2,1,1,3,3,1,1,1,31,2,1,0,3,2,2,3,3,0,42,0,17,33,0,78,32,0,36,96,23,87,0,0,10,36,0,65,29,0,20,85,0,14,0,0,0,53,94,26,0,22,167,65,118,44,-21,32,377,-4,49,96,16,96,11,100,36,292,63,64,20,43,15,75,10,182,45,61,91,,0,0,#DIV/0!,#DIV/0!,12,2,0,1,1,
4/13/2020 12:35,4/13/2020 12:48,174.115.212.99,100,759,1,4/13/2020 12:48,R_vdZiPM9p2AQPoEV,45.41099548,-75.70970154,anonymous,CI10S,34,2,4,,4,4,2,2,,7,1,1,1,2,2,,,2,,,,1,1,2,,31,,1,"Canadian, American",1,2,2,,2,4,3,3,2,3,2,7,4,3,3,2,3,2,2,4,5,2,3,3,3,1,5,3,2,3,3,3,3,2.75,10,10,10,30,PM,,5,6,30,AM,,7,1,3,1,0,0,2,0,2,0,Not sleepy,0,1,2,,3,1,0,120,3,0,30,60,FALSE,2,2,0,120,8,14,0,5880,4,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,1,1,2,32,0,1,6,10,8,8,4,4,192,32,60,80,57,86,41,52,51,68,50,61,37,1,48,61,54,53,62,81,48,58,64,43,48,43,44,29,38,35,67,36,29,305,246,268,296,142,180,192,1065,1103,41,63,36,53,39,58,116,174,54,62,49,63,49,64,152,189,33,36,,0,1,#DIV/0!,#DIV/0!,8,1,0,3,2,
4/13/2020 12:45,4/13/2020 13:00,67.249.29.172,100,898,1,4/13/2020 13:00,R_3NEr0QVJlAyPj2a,44.66110229,-74.97080231,anonymous,Homeschool23E,25,1,2,,2,2,2,1,,6,2,1,3,2,2,,,2,,,,1,1,2,,187,,4,American ,2,,1,7,2,4,2,3,2,4,2,8,3,3,4,2,4,3,4,5,9,4,3,3,2,3,3,2,2,3,3,2,4,2.625,10,11,12,0,AM,,15,8,0,Am,,8,1,2,1,0,0,1,1,3,0,Once a week ,0,0,2,,4,1,0,180,8,3,0,1260,4,8,3,0,1260,7,4,0,1440,1,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,1,2,33,0,1,5,4,1,2,3,2,15,8,20,58,48,73,39,100,10,85,67,13,45,68,100,56,20,74,100,100,47,60,100,34,72,73,47,6,8,32,9,73,28,368,361,96,334,259,267,211,1207,1215,62,31,54,46,42,23,158,100,17,90,19,89,14,88,50,267,11,82,,1,0,#DIV/0!,#DIV/0!,8,1,0,2,1,
4/13/2020 13:03,4/13/2020 13:15,75.68.232.205,100,695,1,4/13/2020 13:15,R_1luI4tsHVM1kGE2,42.53340149,-70.96530151,anonymous,FA15Y,26,2,4,,3,3,1,2,,7,1,1,1,2,2,,,2,,,,1,3,1,1,187,Massachusetts ,3,American,2,,2,,2,4,3,2,3,4,3,7,6,4,3,3,3,3,3,7,6,3,1,5,3,2,4,4,3,2,4,3,3,3.25,13,8,10,30,PM,,10,6,0,AM,,7,0,1,2,0,0,2,2,1,1,Shoulder pain,0,0,1,,3,1,0,120,1,,,0,3,4,2,0,360,6,7,0,2100,2,3,3,2,2,2,2,1,1,2,2,2,2,2,2,3,3,3,3,2,2,1,1,2,2,3,3,1,1,2,28,2,1,5,5,2,2,3,3,30,12,25,6,6,54,57,7,32,14,44,9,34,7,26,60,6,2,26,10,2,56,43,31,27,6,12,2,11,48,14,14,8,133,64,37,203,24,35,191,270,281,42,55,19,49,34,44,95,148,45,47,21,47,29,42,95,136,50,59,,0,1,#DIV/0!,#DIV/0!,9,1,0,1,1,
4/13/2020 12:25,4/13/2020 13:26,66.242.66.219,100,3703,1,4/13/2020 13:26,R_3sBaYGc3sSiGYMf,44.91209412,-93.17169952,anonymous,HE14A,28,2,4,,4,FALSE,FALSE,2,,6,1,1,1,2,2,,,2,,,,5,5,2,,187,MN,1,Russian,2,,1,5,2,3,3,3,3,3,3,6,6,3,3,3,3,3,3,6,6,3,4,2,3,2,4,3,3,2,4,2,4,2.875,12,10,12,0,AM,,15,8,0,am,,8,1,2,1,1,3,1,2,2,2,None,1,1,1,,2,0,15,15,1,,,0,2,4,1,0,180,8,7,0,2940,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,33,0,1,6,7,9,1,5,4,270,4,42,74,53,70,30,52,5,39,34,82,37,4,5,17,100,8,14,3,4,6,6,9,9,14,10,32,34,29,7,8,30,104,63,274,116,40,74,160,437,471,42,25,32,8,26,20,100,53,51,59,55,55,39,54,145,168,51,20,,1,0,#DIV/0!,#DIV/0!,14,2,1,2,1,
4/13/2020 13:12,4/13/2020 13:29,73.156.145.26,100,1036,1,4/13/2020 13:29,R_2fiVW7QYwaIK0kl,26.46960449,-81.8132019,anonymous,Katie Loxley,31,2,4,,3,3,1,2,,7,1,1,1,2,2,,,1,1,1,,1,1,1,1,187,Florida,2,White,2,,1,5,2,4,2,4,2,4,2,9,3,4,2,4,2,4,2,9,3,3,4,2,4,2,4,4,4,2,4,2,4,3.25,15,10,9,30,Pm,,15,7,0,Am,,7,2,2,1,1,0,0,0,2,1,Three times per week ,0,0,2,,8,2,0,840,8,1,0,420,4,8,0,30,210,8,5,0,2100,2,2,2,3,3,3,3,3,3,2,2,1,1,1,1,3,3,3,3,3,3,1,1,2,2,3,3,1,1,3,30,3,1,5,8,2,3,4,3,40,18,40,78,65,29,57,79,81,56,100,21,56,15,93,15,70,76,100,10,13,13,100,37,15,52,13,24,60,54,36,11,48,452,194,216,124,56,116,315,727,787,86,12,100,12,53,8,239,32,75,15,80,11,49,18,204,44,79,100,,1,1,#DIV/0!,#DIV/0!,7,1,0,2,1,
